animal,id,animalLabel
http://www.wikidata.org/entity/Q1144302,n01644373,tree frog
http://www.wikidata.org/entity/Q1149509,n01735189,garter snake
http://www.wikidata.org/entity/Q123141,n01443537,goldfish
http://www.wikidata.org/entity/Q129026,n01484850,great white shark
http://www.wikidata.org/entity/Q129544,n02074367,dugong
http://www.wikidata.org/entity/Q13158,n07745940,strawberry
http://www.wikidata.org/entity/Q132576,n02422699,impala
http://www.wikidata.org/entity/Q134015,n02138441,meerkat
http://www.wikidata.org/entity/Q140,n02129165,lion
http://www.wikidata.org/entity/Q145016,n02134418,sloth bear
http://www.wikidata.org/entity/Q1522299,n01689811,alligator lizard
http://www.wikidata.org/entity/Q15343,n01873310,platypus
http://www.wikidata.org/entity/Q159404,n01641577,bullfrog
http://www.wikidata.org/entity/Q177932,n11879895,rapeseed
http://www.wikidata.org/entity/Q181871,n02640242,sturgeon
http://www.wikidata.org/entity/Q185038,n02504458,African elephant
http://www.wikidata.org/entity/Q185167,n02457408,three-toed sloth
http://www.wikidata.org/entity/Q185939,n02483362,gibbon
http://www.wikidata.org/entity/Q19125,n01770393,scorpion
http://www.wikidata.org/entity/Q192029,n02489166,proboscis monkey
http://www.wikidata.org/entity/Q192754,n01748264,Indian cobra
http://www.wikidata.org/entity/Q193327,n01698640,American alligator
http://www.wikidata.org/entity/Q193407,n02169497,leaf beetle
http://www.wikidata.org/entity/Q19939,n02129604,tiger
http://www.wikidata.org/entity/Q207058,n01692333,Gila monster
http://www.wikidata.org/entity/Q22718,n01632777,axolotl
http://www.wikidata.org/entity/Q23907,n02130308,cheetah
http://www.wikidata.org/entity/Q25349,n02317335,starfish
http://www.wikidata.org/entity/Q273291,n01986214,hermit crab
http://www.wikidata.org/entity/Q32789,n02391049,zebra
http://www.wikidata.org/entity/Q33602,n02510455,giant panda
http://www.wikidata.org/entity/Q34706,n02128385,leopard
http://www.wikidata.org/entity/Q35255,n02125311,cougar
http://www.wikidata.org/entity/Q35694,n02128925,jaguar
http://www.wikidata.org/entity/Q36341,n02132136,brown bear
http://www.wikidata.org/entity/Q374302,n01532829,house finch
http://www.wikidata.org/entity/Q38584,n02115641,dingo
http://www.wikidata.org/entity/Q41317,n01496331,electric ray
http://www.wikidata.org/entity/Q42710,n02408429,water buffalo
http://www.wikidata.org/entity/Q43447,n01784675,centipede
http://www.wikidata.org/entity/Q43624,n01833805,hummingbird
http://www.wikidata.org/entity/Q44299,n02114855,coyote
http://www.wikidata.org/entity/Q47542,n02363005,beaver
http://www.wikidata.org/entity/Q47722,n07714990,broccoli
http://www.wikidata.org/entity/Q47867,n02454379,armadillo
http://www.wikidata.org/entity/Q506144,n02641379,gar
http://www.wikidata.org/entity/Q55805,n02058221,albatross
http://www.wikidata.org/entity/Q591305,n02504013,Indian elephant
http://www.wikidata.org/entity/Q622880,n02422106,hartebeest
http://www.wikidata.org/entity/Q694296,n02356798,fox squirrel
http://www.wikidata.org/entity/Q734870,n01669191,box turtle
http://www.wikidata.org/entity/Q76280,n01440764,tench
http://www.wikidata.org/entity/Q8332,n02119022,red fox
http://www.wikidata.org/entity/Q83483,n02319095,sea urchin
